text,product
"Quero fazer uma poupança na Nomad mas não intendo bulhufas nenhuma, minha dúvida é.. Posso dolarisar meu dinheiro e com a alta do dólar, esse dinheiro meu vai aumentar automaticamente na conta?",Investimentos no Exterior
Na dúvida de qual corretora foca menos nas leis jurídicas brasileiras,Investimentos no Exterior
Eu deposito 100 todos os meses e converto em dolar ja 2 anos,Conta Internacional
posso usar com libra?,Conta Internacional
"Caramba, além da taxa de câmbio precisa pagar US$ 5 por saque!",Conta Internacional
"Eu tenho uma dúvida, como que faz para comprar em reais, usando o cartão, se na conta está em dólar??",Conta Internacional
Precisa declarar as ações ou etf comprados nela ou não?,Investimentos no Exterior
"bom dia. se eu aplicar em dolares, como faço para voltar para real e sacar no  brasil?",Conta Internacional
"Dinheiro parado lá , rende juros ?",Investimentos no Exterior
eu posso pgar contas no brazil usando o cartão nomade com saldo em dolar?,Conta Internacional
Mais tenho uma dúvida um exemplo se eu tivesse 1000 mil em dólar na Normand e eu tentar pagar uma compra numa marquinha brasileira como vai ficar essa conversão de dolar para real,Conta Internacional
"Eu baixei o aplicativo e me cadastrei quando fui solicitar o cartao físico me cobraram US$20 para envio, segui e ai pedem que deposite R$50 reais dai nao entendi porque R$50 nao corresponde a US20. Alguém me explica???",Conta Internacional
Vale a pena aplicar por tempo determinado na conta da Nomad?,Investimentos no Exterior
E se a nomad falir?como recuperar os dólares?,Investimentos no Exterior
"Me diz uma coisa, se eu mandar 1000 dolares, sendo o dolar a 5,00 reais. Se o dolar subir pra 5,50 e eu trasferir pro real eu vou receber o valor corrigido? (Ja contando as taxas).",Conta Internacional
A nomade já está trabalhando com criptos?,Investimentos no Exterior
"No meu caso eu moro em Dubai e gostaria de comprar dólares na. Moeda daqui, isso é possível?",Conta Internacional
"Se for pela a dotação de hoje 26/09/24, um dolar está a 5,43 reais, então R$50 corresponde a R$9,20. Para você ter U$20 queria que desembolsar R$108,68, Se você for colocar na nomad lembra-se que tem a taxa de conversão de 2%",Conta Internacional
Ela tem gobertura da Fdic e da Fgc q se acontecer algum problema com o banco vc n perde os dolares,Investimentos no Exterior
"Você vai receber o valor correspondente a cotação atual ou futura no ato de conversão,ou seja o que estar depositado não altera após a primeira transação para conversão,o que pode acontecer é que você pode usufruir do lucro do dólar caso esteja alto aproveitando os saldo que subirem.",Conta Internacional
"Olá! Então eu abri uma conta no Nomad , eu trabalho com vendas de produtos americanos, eu posso enviar o pagamento da Nomad direto para minha conta  direto para a caixa  econômica federal?",Conta Internacional
"Eu não entendi a parte que eu depositando em reais, eu tenho que pedir para eles converterem em dólares? Eu vou pra Austrália, exemplo, vou depositar R$ 10.000,00, aí eu tenho que pedir para eles converterem em dólar australiano???? Pensei que eu depositaria em reais e passando o cartão em Dubai, automaticamente seria convertido meu dinheiro na moeda de lá!!! Não entendi essa parte aí, pode me explicar?",Conta Internacional
Pode transferir com pix?,Conta Internacional
Uma pergunta na conta corrente ele também rende???,Investimentos no Exterior
"Abrindo a conta Nomad , eles não aceitam meu endereço nos Estados Unidos",Conta Internacional
Como abrir e enviar fundos em dólar para conta nomad morando nos Estados Unidos ?,Conta Internacional
"Vou para o Chile na terça-feira, pelo que entendi, depois que eu colocar o valor em reais, preciso converter em dólares para poder usar no Chile?  Posso usar o carteira virtual do Google para efetuar pagamentos? Ele vai converter o dólar em peso chileno, isso?",Conta Internacional
Tá mais qual o limite de gasto por dia ? Ninguém  fala disso no YouTube,Conta Internacional
"Sou Brasileiro e vivo na Agentina, posso  criar essa conta com documento Argentino?",Conta Internacional
"Vamos ser sinceros. Para nós brasileiros, muito mais prático usarmos nossos bancos digitais ou até mesmo WISE, muito mais prático, simples e menos gastos.",Conta Internacional
"Tenho uma dúvida, quanto tempo eu preciso deixar o dinheiro investido pra trazer pra conta? Pretendo fazer uma viagem e quero abrir a conta nomad mas não encontrei ainda essa informação em lugar nenhum.",Investimentos no Exterior
"Só tem dolar, ele vai fazer a conversao auto de dolar pra outra moeda, mas pagando spread",Conta Internacional
Isso aí o próprio app já faz essa conversão. E se vc sacar no país… você não marca câmbio no caixa eletrônico. Pois no app sai mais barato,Conta Internacional
Uma informação por gentileza alguém me informa por favor ? Tenho a conta Nomad e já converti o dinheiro pra dólar porém estou no Brasil !   Posso usar o cartão no débito automático no Brasil sendo que o dinheiro está convertido em dólar ?????????,Conta Internacional
"Eu fiz , coloquei. $500 reais! Já me comeram 15 😢 aí resolvi transferir novamente para minha conta no Brasil , comeram mais 25 ! No total de $500 eu saí com $460 ! Saí perdendo ! 😢 acho q só quem ganha é quem divulga, pq quem abre a conta mesmo não ganha nada !  Se pelo menos o dinheiro ficasse guardado! Mas assim que vc faz a transferência, já comem um valor !!! Me arrependi, mesmo querendo muito  !",Conta Internacional
"Boa tarde  quero saber quais as melhores maneiras pra fazer investimentos ,quais os melhores ETF ações reits pode sempre investir nos mesmo e acumula mais dicas passo a passos sem muito riscos ativos etc",Investimentos no Exterior
"0:38 Não é verdade. Ela cobra 1% de taxa de serviço 3:50 e 6:56 Cuidado com as pegadinhas, não existe almoço grátis!",Conta Internacional
"Eu moro na Turquia, posso adquirir um cartão da nomad?",Conta Internacional
Eu consigo usar o cartão virtual sem o cartão físico ter chegado ?,Conta Internacional
Pra quem morra nos Estados Unidos funciona como uma conta normal tipo Nubank no Brasil?,Conta Internacional
Qual a validade do cartão físico de débito da nomad?,Conta Internacional
Cobra IOF nas compras nos EUA?,Conta Internacional
"qualquer lugar que vc for fazer o câmbio eles vão cobrar uma porcentagem, a da nomad é uma das menores na verdade",Conta Internacional
É a taxa pra comprar os dólares,Conta Internacional
"Mas tá certo ué, isso é o câmbio, era só você usar o cartão, sem precisar enviar pra banco brasileiro novamente.",Conta Internacional
"Nomad é muito boa e uma das menores taxas colega e fora que você pode investir no mercado mais forte do mundo, que é o dólar. Pode viajar e usar seus saldos tranquilo na mesma gama de países que a Wise tem. Já tem as dicas dos colegas aí agora só resta dar uma estudada que vai dá bom e cuidado pra não fazer mais movimentações erradas porque aí sim você vai perder dinheiro. 😉✌🏾",Conta Internacional
"@fabianaviera5  a taxa é 0, 35%. O problema seu deve ter sido que as ações que você adquiriu ou o próprio dólar baixou. Portanto, não pode tirar, logo eles voltam subir novamente. É normal isto acontecer por isto é renda variável, tem volatilidade. Estas aplicações eu coloco lá e esqueço. Depois de 3 ou 6 meses eu volto pra ver como já está. Eles compensam no longo prazo. O que precisa é comprar as ações ou FIIs certos. Tem muita gente que ensina como escolher as melhores ações e FIIs.",Investimentos no Exterior
"​ @smotimize  se o dólar baixar no Brasil vai ter variação no dinheiro que guardamos na conta Nomad, foi isso que vc quis dizer?",Investimentos no Exterior
"@RosaNoDeserto  isto, pois o dinheiro na Nomad está em dólar daí ele valoriza.",Investimentos no Exterior
Essa nomad chega ser estúpida com os dólares. Exploração total na conversão com o real,Conta Internacional
"SÓ É DEBITO, NAO É CRÉDITO???",Conta Internacional
A rede não é mais Allpoint. E a bandeira do cartão agora é VISA. Mudaram as faixar de pontos/beneficios.,Conta Internacional
"Serve pra usar em portugal, lá é euro?",Conta Internacional
Se eu já mandar 5k USD a TX já será 1.6%,Conta Internacional
"Por favor:   se eu colocar so R$ 100,00 reais na conta, tem como eu voltar esses  R$ 100  pra minha conta normal do Brasil?",Conta Internacional
Como cartão gratuito se tenho q enviar 1000 dólares?,Conta Internacional
Posso fazer meio que uma poupança em dollar na nomad ?,Investimentos no Exterior
Pessoas de outros paises podem ter essa conta ou precisa ser Brasileiro,Conta Internacional
Todos os canais que visitei falam que a conta pode ser usada em 180 mas nenhum fala se pode ser usado no brasil,Conta Internacional
"Otimo vídeo!!  Estou com uma dúvida, veja se consegue me ajudar:     Estou planejando viajar em 02/2025 para os EUA.  Posso mandar todo mês um valor em real equivalente a US$ 100,00 para a conta NOMAD no perfil investidor (Para rer uma taxa menor de IOF) e investir esse valor na Renda Fixa da NOMAD, com liquidez diaria, até minha viagem.   Assim até lá estaria com mais de US$ 1.000,00.  Minha ideia é fazer isso para pagar menos IOF e no final resgatar o dinheiro (Ficando com mais de US$ 1.000,00) e deixar em minha conta, assim conseguir pedir o cartão da NOMAD sem precisar pagar a Taxa do mesmo.    É possivel ?",Investimentos no Exterior
"meu cartão  NOMAD  chegou aqui no Brasil e desbloqueei , chegando nos estados unidos esta pronto para usar nas lojas nas maquininhas  ? grato",Conta Internacional
E nem falam quais pias.eu estou indo pra Ibiza e não sei se lá vai passar porque esses burro não falam nada,Conta Internacional
"@AjotaChannel  eu abri essa conta e coloquei $500 reais ! Só que convertendo , eu estava com 460 .. perdi $40 ! Isso é normal ? Queria muito , pq vou para Portugal ano que vem e queria mostrar na imigração! Mas eles descontam muito 😢",Conta Internacional
"@fabianaviera5  Não tenho tanto conhecimento, mas pelo q vi no próprio app da Nomad cobra taxas. Exemplo: o valor do dólar é R$5,64 + taxa, então esses seus R$40 foi da taxa.",Conta Internacional
"​ @fabianaviera5  é normal, isso se chama câmbio, ou seja, você pagou 40 reais para realizar a conversão. Se você pegasse 500 reais e comprasse dolar  na casa se câmbio ia comer bem mais do que 40 reais",Conta Internacional
"ENTÃO ESTOU EM MIAMI POR EXEMPLO E ACABOU MEUS DÓLARES ,  COMO MEU IRMÃO VAI ADICIONAR LÁ DE LONDRES DÓLARES SE EM LONDRES É LIBRA ?",Conta Internacional
"Obrigada pelas informações! Fiz transferência para s Nomad e converti para dólares. Vou viajar para Reino Unido e Suíça, preciso converter para Libras e Franco Suíço, ou s conversão será automática quando eu usar a função débito do cartão?",Conta Internacional
"Sou leigo no assunto e o que eu gostaria de saber na verdade, é se existe alguma forma de ficarmos independentes das casas de cambio. Se existe uma forma de converter o dollar em real por algum app e enviar para o brasil via pix ou transferencia sem precisar de serviços terceirisados para isso.",Conta Internacional
sempre tem que depositar $100 dólares ou é só primeiro deposito  e depois de abrir a conta pode ser qualquer valor ?,Conta Internacional
Precisa do cartão físico ? Pode adicionar o cartão virtual na carteira virtual e usar de aproximação ?,Conta Internacional
"Bom Dia Obrigado pelas informações, estou com uma dúvida para residentes no Brasil é possível abrir a conta de investimentos pela Nomad ?",Investimentos no Exterior
"Um Alerta, que ninguém fala nos vídeos. após resgatar (vender) o ETF na Nomad que leva 2 dias úteis) normal) , eles falam que são até 3 dias úteis só pro dinheiro voltar pra conta corrente (que eu não sabia). Alguém fez isso esses dias? Tá levando esses 3 dias mesmo. Tou com viagem sábado e me ferrei nesse prazo se for esses 3 dias úteis mesmo.  Achei que eram só os 2 dias úteis. Não imaginava que demoraria 3 dias pro dinheiro voltar da conta investimento pra conta corrente da própria Nomad. Cuidado com a sua viagem se próximo, 5 dias úteis para vc conseguir voltar o dinheiro pra conta corrente e usar o seu cartão.",Investimentos no Exterior
Olá tudo jóia. Eu posso usar o cartão fizico aqui mesmo no Brazil no supermercado dinheiro em reais mesmo. Ou só fais compra no fora do Brazil.,Conta Internacional
Posso já começar a usar o cartão na minha carteira digital Google mesmo antes de o cartão físico chegar?,Conta Internacional
"Depois que depositei em real e fiz o cambio para dolares na conta  nomade , eu posso além de passar o cartão de debito em estabelecimentos estrangeiros, eu também posso   mandar pra outra conta brasileira quando quiser? Se quiser?",Conta Internacional
Alguém sabe como fazer a conversão em euro ? No meu aplicativo só sai dólar,Conta Internacional
"Sempre será o mesmo valor para converter, se colocar menos vai ficar em reais mesmo",Conta Internacional
"Hoje em dia (escrevo em setembro de 2024), o mínimo para converter é 50 reais.",Conta Internacional
Pra usar precisa ter sempre valor em conta? Tipo cartão digital é só débito? Eu tinha  interesse mas vi algo sobre ter sempre valor em conta pois tudo é vista . Parece ter parcelado mais só pra alguns.  Como compro pouco e uso as vezes não sei se compensa . Sempre usei cartão BB pra compras internacionais,Conta Internacional
"Adorei o video! Eu tenho uma dúvida, é possível colocar um endereço dos EUA e outra pessoa receber o cartão por mim?   Por exemplo, se eu ficar com conhecidos em NYC e eu ainda nao tiver chegado. Posso colocar o endereço dessa pessoa e ela receber por mim?",Conta Internacional
"Bacana... abri minha conta, porém sou basicamente um leigo no assunto... e quero me aventurar e aprender sobre isso. Já joguei uma pequena quantia la, devagar vou chegar nos meus primeiros 100 dólares 😊",Conta Internacional
têm como pagar contas e boletos do Brasil com a conta Nomad?,Conta Internacional
têm como pagar contas e boletos do Brasil com a conta Nomad?,Conta Internacional
"Se ta maluko, uma taxa de 20 dólares pra emissão do cartão, to fora!!!",Conta Internacional
"Bom dia, posso sacar em dolar  nos caixas eletronicos, por exemplo no Paraguai?",Conta Internacional
Vc está em viagem na Europa e sacam seu dinheiro nos eua.,Conta Internacional
Lá rende igual poupança?,Investimentos no Exterior
Dúvida: Posso transferir dolares direto? Posso usar o cartão aqui no Brasil?,Conta Internacional
"será que tem como colocar o cartão pra se entregue nos EUA, na casa da minha tia?",Conta Internacional
"Só tem um detalhe que esses valores pequenos citados não dá para converter, tem que ser no mínimo 500 reais de depósito para a primeira conversão",Conta Internacional
"Você consegue isentar.  Site da NOMAD:  ""Caso você tenha US$1 mil (mil dólares) acumulados em operações de câmbio para conta-corrente ou conta investimento através da função ""Adicionar dinheiro"" no app da Nomad nos últimos 6 meses, haverá isenção da taxa de entrega da sua primeira via para endereços no Brasil!""",Conta Internacional
Você vai sacar a moeda do país,Conta Internacional
"Não, os juros dos EUA comparado ao Brasil são baixíssimos. A renda fixa americana, por exemplo, rende em torno de um pouco mais de 5% ao ano, enquanto a poupança brasileira rende em torno de mais de 6% ao ano. Ou seja, a renda fixa do tesouro americano rende menos que a poupança brasileira. Mas deve levar em consideração que o rendimento americano é em dólar. Qualquer rendimento em dólar é quase cinco vezes o valor do real.",Investimentos no Exterior
Meu primeiro depósito foi 50 reais e consegui converter sim,Conta Internacional
"​ @igordutra2885  verdade, o primeiro depósito é de 50 reais",Conta Internacional
Só converte se quiser ? O governo do Brasil não tem acesso a conta desse cartão ?,Conta Internacional
Eu converti 63 reais kkkk deu 10 dólares,Conta Internacional
Eu convertir R$50 na primeira.,Conta Internacional
Eu consegui com 100,Conta Internacional
Qual o valor de um investimento no nomad de 10 mil ao ano?,Investimentos no Exterior
"Estou abrindo agora a minha conta,  vou ganhar o cupom?",Conta Internacional
"Se eu guardar dólares numa conta corrente, haverá um desconto mensal, como ocorre nas contas corrente do Brasil?",Conta Internacional
quando você abre uma conta corrente essa conta tem alguma taxa de manutenção,Conta Internacional
"Cara no caso ai eu consigo fazer uma conta poupança,  pq quero embora do Brasil, ai procuro um cartão global, para deixar meu dinheiro ate eu ir embora",Conta Internacional
"Pergunta besta, mas que está me dando uma dor de cabeça: Posso reservar e efetuar pagamento de hotéis pelo booking com o cartão de débito da Nomad? Acho que só aceitam débito, mas a Nomad pode ser usada na versão crédito (pré pago)?",Conta Internacional
"Depositei $1100,00 só aparace a cobrança do envio de $20 , como eu faço?",Conta Internacional
Só não informam que na hora de pagar com o cartão de Débito Nomad a opção é CRÉDITO.,Conta Internacional
"Moro nos EUA, e não consigo solicitar meu cartão físico pra chegar aqui, aparece “ temporariamente indisponível “ , oq faço?",Conta Internacional
"Para guardar dinheiro afim de lucrar,é necessário fazer a conversão na moeda americana?",Investimentos no Exterior
"Gostaria de saber se para converter de dólar para real, o valor utilizado do câmbio é o mesmo quando convertemos de real para dólar.",Conta Internacional
Para abrir a conta nomad tem que fazer um vídeo de 5 segundos e pode ser com o passaporte ? Minha CNH e RG esta vencido . Fiquei sabendo que uma pessoa comprou no eBay e vendedor nao aceitou,Conta Internacional
"Oie, uma dúvida, para usar o cartão na função débito não é cobrado nada a mais? Independente do país?",Conta Internacional
"Como calcular o câmbio Mastercard? No site pede para preencher o Bank Fee, mas não sei qual porcentagem preencher. Poderia informar?",Conta Internacional
Posso abrir só pra guardar dinheiro?,Investimentos no Exterior
"Depende de qual investimento. Existem múltiplas formas de investimento. Renda fixa, ETFs, Ações e reits.",Investimentos no Exterior
@direitocomleticia  ao usar o cartão dia adia passa na função credito. Não como débito que é o tipo do cartão,Conta Internacional
"Sim, claro. Eu abri a minha justamente para guardar dinheiro na renda fixa. Mas atualmente estou viciado em investir também em ações e reits.",Investimentos no Exterior
Essa conta pode ser poupança ou algo parecido que gera renda?,Investimentos no Exterior
"Vi em todo lugar que a bandeira do Nomad é Mastercard, porém aqui no meu aplicativo está escrito que é VISA, é isso mesmo ?? Tem as duas bandeiras ?",Conta Internacional
Apos abrirmos conta .podemos cacelar a hora q quisermos,Conta Internacional
Só pode ser o 1 depósito de 500 reais para ganhar os 20 dólares,Conta Internacional
Eu tenho uma conta em um banco dos Estados Unidos. Tem como transferir o dinheiro para o Nomad e gastar aqui no Brazil?,Conta Internacional
Não ficou claro pra mim como funciona o cashback. Eu deposito os 100usd e automático cai até esse 20usd e eu já posso transferir para minha conta em BRL ?,Conta Internacional
"eu instalo no meu celular samsung aqui no BRASIL  o cartão  NOMAD , mas em Miami vou comprar um IPHONE como vou ter o cartão NOMAD no IPHONE  ?  sendo que vou deixar o celular  samsung aqui no BRASIL ? grato",Conta Internacional
Eu recebo em dolar tem como transferir em dolar pra conta nomad?,Conta Internacional
Gostaria de saber se tem imposto sobre Herança se eu investir pela Nomad,Investimentos no Exterior
eu tava pensando eu abrir uma conta mas não tenho planos pra viajar por agora…. só daqui há uns 2 anos… você aconselha eu já abrir a conta? pago alguma taxa se não usar ?,Conta Internacional
1000 dólares por volta de 5 mil reais pra receber um cartão físico? kkkkkkkkk,Conta Internacional
Quanto reais tenho que colocar para ganhar 40 dólares? É limitado a 2%.,Conta Internacional
Eu consigo fazer o saque no caixa automático de lá com apenas o cartão virtual? Pois o físico n chegará até a viajem,Conta Internacional
O judiciário brasileiro pode bloquear dinheiro nessa conta ?,Conta Internacional
"E se, eu não consigo depositar em até quinze dias o que acontece?",Conta Internacional
"Você pode aplicar dólares em renda fixa americana, que vai te garantir uma renda segura.",Investimentos no Exterior
Não. Apenas uma bandeira. Era mastercard. Agora mudou para Visa.,Conta Internacional
"Esta questào dos 20 dolares è uma pegadinha , na realidade o casshback è proporcional ao valor do seu primeiro deposito, então se vc depositar US$100 vc tera de cashback, apenas US$ 2 dolares.",Conta Internacional
"Abre a conta e coloca seus dólares em renda fixa, e quando vc for viajar já tem dinheiro + um pouco que rendeu na renda fixa. A renda fixa da Nomad são títulos do tesouro americano que são os mais seguros. Só rende pouco, uns 5% ao ano, mas rende.",Investimentos no Exterior
"Paga 20 dólares e recebe o cartão, entendeu?",Conta Internacional
Acredito que não meu querido. Mas pode usar o débito livremente,Conta Internacional
"Sim.  Inclusive a conta já retém 30% de imposto, que vai pro Estado Brasileiro, de tudo o que te rende na conta.",Investimentos no Exterior
Não ganha o Cash back,Conta Internacional
O dinheiro fica protegido ? Em relação a qualquer caos financeiro no Brasil ? Tem que declarar IR ?,Investimentos no Exterior
"Ola, pra desbloquear o cartão e necessário comprar a primeira vez com cartão no Brasil? Dizem que q wise e assim .",Conta Internacional
"Bem legal, fica inviável mandar muito dinheiro? Vendi minha empresa e gostaria de investir no mercado americano, porém aparenta ter limites de envios.",Investimentos no Exterior
Quando abre a conta corrente fica cobrando taxas de serviços?,Conta Internacional
"Aderindo o cartão NOMAD no meu smartphone Samsung Android esse mês por exemplo , em março de 2024 vou para Miami e vou deixar o smartphone Samsung aqui no Brasil , em Miami vou comprar iPhone vou ter jeito de passar meus cartões virtual no iPhone sendo que vou usar em Miami o cartão virtual no iPhone  que vou estar ?",Conta Internacional
conta norte americana * global é uma igual a wise,Conta Internacional
"Eu abri a conta e fiz o depósito de 500 reais e o dinheiro sumiu. Tô tentando entrar em contato, mas...",Conta Internacional
"Gentee só fala de Dolar?? Meu Deus eu quero uma conta que eu possa usar Libra sem ser WISE, Pois ja me bloqueram! Uma inhaca! Fazem MUITAS PERGUNTAS! QUEREM CONTROLAR TUDO! Se alguém puder me ajudar agradeço. Monzo é complicado tbm! Obrigada!",Conta Internacional
"esta conta pode ser criado uma chave pix, para que seja pratico enviar e trazer dinheiro de outras instituições?",Conta Internacional
"Sim, fica protegido. A conta em dólar é nos Estados Unidos. Não tem risco. E a conta já retém do seu lucro 30% de tudo o que te rende em dólar, como imposto. O único risco é o Estado Brasileiro te cobrar mais impostos.",Investimentos no Exterior
Toda vez que mandar reais para a conta tem sempre que ir na opção “adicionar” e converter para dólares. Não faz conversão automática.,Conta Internacional
Então posso usar na europa ( euro ),Conta Internacional
"A nomad é aceita em mais de 180 países, mas a conversão sempre sera para dólar",Conta Internacional
voce pode enviar o dinheiro via pix pra essa conta sim meu querido,Conta Internacional
2 pergunta consigo dps que transferir  para dólar voltar para real caso valorize se eu precisar do $ e no caso por ex vou para Argentina e pago lá em dólar paga na moeda automático,Conta Internacional
"Que tutorial toppp!! Eu tinha justamente essa dúvida da diferença de taxa entre conta de investimento e conta normal. Pretendo ir comprando dólares toda vez que ele abaixa de preço e deixar investido para não perder para a inflação, pelo menos. Assim quando eu precisar viajar, é só vender os ativos e usar os dólares. Muito bom saber que meu plano vai funcionar perfeitamente. Obrigado!",Investimentos no Exterior
"Disseram que as lojas apple nos Estados Unidos, NÃO aceitam o cartão NOMAD. Verdade?",Conta Internacional
Bom dia! Bloqueio judicial atinge a conta da Nomad ?,Conta Internacional
"Comecei a usar a NOMAD, mas vou te falar: que plataforma ruim! Não tem um gráfico ou controle de percentual de valor investido, categoria, tipo (Stocks, Reits ou ETFS), por exemplo. Além de ficar limitado o uso à app.",Investimentos no Exterior
"Gostei da dica de resgate do investimento e posterior conversão para saldo em conta sem taxa. Realmente não conta a diferença depois do saque e transferência? Outra dúvida, a receita federal fica sabendo de alguma movimentação na nomad e dos investimentos que por ventura estiver lá ? Até quanto dá para investir sem precisar informar a receita brasileira?",Investimentos no Exterior
Tem verificação 3ds no cartao nomad ?,Conta Internacional
Tem dois dias que transferir d ate hoje nao caiu. E normal ?,Conta Internacional
"As informações vão pra receita, ? Com a quadrilha que está lá temos que saber!",Investimentos no Exterior
Eles repassam informações para a Receita??,Investimentos no Exterior
Posso transferir de uma conta jurídica para conta nomade????,Conta Internacional
Gostaria de saber se eu deixar meu dinheiro na conta nomad ele tem rendimento por exemplo hoje se eu deixar 1000 dólar na conta tem quanto de rendimentos mensal ou diário,Conta Internacional
"boa tarde, adoro seu canal muito esclarecedor, gostaria de saber se existe algum limite de valor total que vc pode transferir para a conta nomad ?",Conta Internacional
"Você disse que quanto mais a pessoa vai depositando, menos taxa de spread paga e que tem direito a usar a sala VIP a partir do nível 4, que antes disso é apenas promocional. Gostaria de saber se essa vantagem é só por 6 meses, e após isso ela volta pro nível 1,  mesmo tendo depositado mais de US 20 mil nos últimos 6 meses.",Conta Internacional
"Se eu depositar US1000 ou mais em 7 meses e depois pedir o cartão, ele será grátis também?",Conta Internacional
Da pra ganhar dividendos em dólar também,Investimentos no Exterior
Pago taxa todas as vezes q eu depositar ? Por exemplo  depósito todo mês 200$ ou junto e depósito 1k de uma vez,Conta Internacional
"PESSOAL VOLTANDO AQUI PARA INFORMAR QUE, O CARTÃO NOMAD É ACEITO E MUITO BEM ACEITO EM TODAS AS LOJAS DE NOVA YORK. SIMPLESMENTE VOU TRABALHAR SOMENTE COM CARTAO NOMAD, NA MINHA PRÓXIMA VIAGEM AOS ESTADOS UNIDOS.",Conta Internacional
​ @elianadstbernardo5647 Na hora de pagar tenho que escolher DEBIT ou CREDIT ???,Conta Internacional
"Boa, é verdade, acho que na plataforma de investimentos eles tem muito a melhorar mesmo.",Investimentos no Exterior
"Sim, obrigatoriamente, pois trata-se de capital brasileiro no exterior , então é obrigado a declarar.",Investimentos no Exterior
"Tenho essa dúvida também porque recebo pagamentos de uma instituição fora do Brasil, queria saber se eu transferir o dinheiro dessa instituição direto para a Nomad e usar o cartão deles sem repassar o valor do Dólar para o real se mesmo assim tenho que pagar Darf referente a ganhos aferidos no exterior.",Investimentos no Exterior
"Pra não cair na malha fina da receita, as transferências tem que ser feitas abaixo de 9.999,00",Investimentos no Exterior
"A NOMAD não vai informações a receita federal, as transferências tem que ser feitas abaixo de 9.999,00 pra não cair na malha fina.",Investimentos no Exterior
"A Mastercard é 60% confiável. Tive problemas nas ljs americanas que dão opção de vc pagar em dólar ou reais. Não utilize a Mastercard nessas ljs, melhor usar a Visa que foi mais honesta.",Conta Internacional
Eu acho que a única vantagem é transferir dinheiro pra conta quando o dollar estiver baixo ai quando aumentar o dollar seu dinheiro vai valer mais. Acredito que seja essa a estratégia. Ainda não abri mas estou pensando em ter essa conta,Investimentos no Exterior
"​​ @musicaeingles5903 o dólar sempre tende a se valorizar frente ao real no longo prazo, porém mais do que isso. Comprando dólar vc está se protegendo da inflação e perda do poder de compra.",Investimentos no Exterior
"⁠ @musicaeingles5903  Não, existe a opção para vc guardar seu dinheiro em renda fixa (tesouro americano) que vai te render, como se fosse uma espécie de poupança, se vc não estiver acostumado com o termo renda fixa.",Investimentos no Exterior
"Sim meu querido, a Nomad de fato você tem uma conta com sede nos EUA e com garantia do Fundo garantidor de crédito deles",Conta Internacional
Você tem limites pré estabelecidos que vão subindo com o tempo. Valeu,Conta Internacional
