text,product
Parabéns nomad pelo ótimo trabalho muito sucesso sempre um abraço Da Empresa Anjo Da Guarda secoloxx seja bem vindo ao universo,App
muito boa,App
ótimo,App
ótimo 😄☺️😄,App
show parabéns,App
"bah, maravilhoso o app! Nomad até agora nunca deixou na mão. grata!!",App
nada funciona...depositei dinheiro e sumiu ..mesmo paso a paso o dinheiro não volta...arrependimento,App
"bom aplicativo, mas as taxas muito altas..",App
rápido e tranquilo,App
muito top,App
"OI CAROS AMIGOS DA ADMINISTRAÇAO TENHO CONTA QUERIA SABER SE COM 300 REAIS QUE +/- = 54.75 Dolar NA CONTA CONVERTENDO EM DOLAR DEIXANDO NA CONTA ELE IRA RENDER, PODERÍAMOS IR ADD AOS POUCO EM REAIS ISSO AJUDARIA MUITO A FORMA DE CRECER.Obrigado AlexDSLopez.",App
estou gostando muito desse aplicativo uma experiência boa,App
Vou desinstalar este app pois em outros app aparece a propaganda da Nomad e o app da Nomad abre automaticamente sem eu solicitar. Muito incoveniente.,App
👍,App
por enquanto está sendo muito bom estou gostando,App
"Excelente app, estou amando fazer investimentos em dólar! Estão de parabéns! Tem algumas coisas que precisam ajustar mais aos investidores brasileiros, mais no mais Excelente! Recomendo muito para todos!",App
ótimo!!,App
por que todavia no colocam para Los estrangeiros poder usar su documento válido aqui em Brasil su rnm como vamos a enviar dinero a otros países si no lo aceptan por favor mejoren éso asi van a tener mas gente enviando dinero a otros países por favor 😔😞😞😞,App
"Excelente Banco, ajuda muito pessoas fora do seu País!",App
otimo,App
"tô achando que levei foi um cano, depois que depositei dinheiro o aplicativo n abre mais !!!! já atualizei tudo e n̈ abre...",App
"o app está simplesmente bugado, fiz uma análise e passei um antivírus, malware usei famoso SOPHOS e detectado um PUA Generic, esse app está realmente bugado era um bom app estou com medo de investir, tinha tudo pra dá certo aqui no Brasil espero que o suporte tecno quem fez o aplicativo concerta esse app, depois de analisar e voltarei e darei 5 🌟 e indicarei pra mais pessoas. 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 somos mais 280 milhões de Brasileiros foram os estrangeiros.",App
ótima,App
"Excelente. É o app mais rentável para quem usar o dólar como investimento. É prático, bem intuitivo e abre abas com explicações de como usar as funções do app.",App
quase excelente só falta poder fazer transferência Pix só saldo d Brasil daí ficaria perfeito,App
"agora sim , função crédito 💳 muito bom",App
otimo pra quem quer se planejar,App
muito bom,App
aplicativo atualizado mas ele não abre pra fazer login,App
app muito top é bom 🎉,App
excelente,App
"simplesmente não aceitaram eu abrir minha conta, e não informaram por qual motivo, muita propaganda e pouco recurso, péssimo.",App
para quem é iniciante apanha um pouco,App
.muito bom o app,App
muito bom,App
mto bom,App
a melhor conta,App
Coloquem a conta digital nacional também com investimentos renda fixa com líquidez diária,App
"Banco excelente, app muito fácil de usar e com bônus para ter acesso a uma sala vip top no aeroporto. sensacional",App
"Muito bom,obrigado por existir, Nomad",App
Muito bom,App
fácil utilização,App
Perfeito para o dia dia!,App
gostei simples e prático,App
"pior cartão que já existiu, passo muita vergonha com ele, é o tipo de cartão que você não pode contar pois ele simplesmente não passa na hora que vc mais precisa, não recomendo.",App
aplicativo não aceita ser instalado no meu celular,App
o depósito continua em real,App
bom,App
"muito bom , aplicativo intuitivo , fácil de usar , boas taxas , interativo , recomendo",App
fácil de usar,App
nao me.deixa retirar meu próprio dinheiro ! insatisfação!!,App
top,App
top,App
aprendendo,App
não conheço ainda mas já gostei da facilidade de manuseio.,App
"estou iniciando, mas até o momento a rapidez da operação está adequada.",App
Apesar das taxas o q quero é juntar,App
"Pouco esclarecimento para iniciantes como eu. TENTEI COMPRAR ETFS, COM MENOS DE 10 DÓLARES, simplesmente não consegui. Não achei quem me explicasse. muitas mensagens no chat no e-mail, porém sem sucesso. VOU TENTAR DEPOSITAR MAIOR VALOR. ACHO QUE O PROBLEMA É POR TER POUCO DINHEIRO. não entendo porque anunciam mas não explicam como.",App
gostei,App
excelente Banco para investir,App
otimo,App
Ótimo,App
é fácil e prático de se usar,App
positivo,App
muito bom mesmo muito obrigado pela oportunidade que a Nomad mim deu eu consigo colocar dólares é receber em dinheiro 💰 real do Brasil e é comprar dólares é receber na minha conta Nomad,App
muito fácil de usar. sem problemas,App
"fácil aplicativo, muito bom",App
Excelente opção pra quem quer fugir do risco Brasil.,App
Sensacional,App
bom,App
"Único, confiável e super intuitivo. Minha carteira internacional principal em dólar. O cartão virtual funciona perfeitamente e a conversão é assertiva e coesa. Parabéns aos envolvidos da plataforma.",App
"primeiro uso, muito fácil, vamos ver as taxas",App
muito eficiente,App
boa noite a todos ✌🏽 eu invisto no ETF pela nômade recomendo 😎,App
"nunca aceita o reconhecimento facial, a câmera não capta direito. sem paciência!!!!",App
"foi maravilhoso, não me preocupei em fazer conversões.",App
fantástico,App
show 👌😸,App
Impressionante a praticidade do aplicativo....,App
Muito fácil e prático usar o aplicativo . .,App
Na última atualização tornou obscuro os custos da conversão.,App
banco bom pra comprar e investir nos Estados Unidos porém o único ponto negativo do banco é a conversão de real pra dólar que tem que ser no mínimo 300 reais seria bom você abaixo mais isso pra no mínimo 100 ou 150 reais.,App
"Rápido a conversão, bem simples, objetivo...",App
A melhor corretora pra investir no exterior.,App
ótimo,App
top,App
orrivel,App
maravilhoso,App
não dá pra fazer pix pra conta do Brasil,App
Achei fácil de obter e manusear a conta no App a minha única reclamação é o valor cobrado pelo cartão físico a taxa cobrada é de 20 dólares,App
Não sei como receber o cartão de débito.,App
"Aplicativo maravilhoso, estou amando a experiência de ser cliente Nomad, agora pra ficar ainda mais satisfeita, só tá faltando a liberação do cartão Nomad Explorer, já estou na lista de espera aguardando ansiosa.",App
eu gostei do app ainda estou aprendendo meche com ele mais eu recomendo,App
excelente e bem intuitivo,App
MEDCOIN.ai recomenda,App
"melhor app para ter uma conta com dinheiro no exterior, ainda tem os benefícios que são tops",App
por enquanto está bom!!,App
ótimo só fiz a transferência para quitar uma conta depois sim começo fazer investimento,App
uma boa conta rende bem,App
aplicativo bem enchuto,App
"não tenho interesse, só perturbação com propaganda",App
muito top gostei muito,App
"as informações não são claras, muita dificuldade para operar",App
aplicativo confiável e rápido na conversão,App
pra mim é muito bom,App
eficiente,App
"Eu irei diante de ti, e endireitarei os caminhos tortos: quebrarei as portas de bronze, e despedaçarei os ferrolhos de ferro. A paz senhor.",App
pior banco.,App
top,App
maravilhosa,App
Por ora estou conseguindo entender. mas o depósito na chave pix da nomad se destina a colocar crédito em minha conta nomadismo apenas? Ou se refere também a taxa de abertura de conta?,App
excelente 👏👏👏,App
"Gosto do aplicativo, mas a conversão poderia retornar com o minímo de 50 reais.",App
Top,App
muito caro,App
muito bom mesmo,App
começando agora ainda estou aprendendo 😃 qualquer coisa eu dou mais estrela pareçe ser um pouco difícil mais não muito,App
"faço aportes de 50 a 100 reais,essa mudança de câmbio mínimo ser 300 reais me impede de continuar investindo com vocês",App
👍🏼$,App
Adorando minha experiência com a Nomad. Me sinto segura e manuseando uma conta de forma prática e sem burocracia.,App
muito bom,App
ótimo assim tenho como guarda,App
Top,App
"Jamais percam sua senha, caso contrário é impossível resgatar la e um inferno pra recuperar seu dinheiro, as etapas simplesmente nao funcionam e nao reconhecem nem sua data de nascimento.",App
"É a primeira vez que faço isso direto, e achei mais interessante 👍🏼",App
"péssimo fui fazer investimentos na bolsa americana, e eles pedem no mínimo 50 dólares, que não cotação de hoje é R$ 280,00, não adianta nada deixar investir a partir de 1 dólar, se só posso investir se tiver 50 dólares, sou pobre. Ainda perdi dinheiro resgatando para uma conta brasileira",App
Rapidez e eficiência,App
"Aplicativo simples de usar, e tem um bom suporte de atendimento.",App
excelente,App
Faltam opções de investimento programado automatizado. Mas tá bom,App
excelente,App
O app da Nomad tem me ajudado muito na minha viagem aos EUA !!!!!,App
péssimo o aplicativo não dar pra investir não rende o dinheiro muito ruim,App
rápido e eficiente as transações,App
Excelente.,App
primeira experiência ... aplicativo básico...,App
Bom,App
muito bom,App
Excelente e prático,App
excelente,App
fácil e ágil,App
"Prático, fácil de utilizar e não apresentou nenhum problema na última viagem.",App
muito boa,App
Bom mesmo,App
foi resolvido,App
Gostando muito do app da Nomad!!,App
"pessoal me decepcionei, não tem simulador de quanto ficara a taxa, aí depois que vc faz a conversão que aparece que vc pagou as mesmas taxa de uma casa de câmbio.... app não é ruim pra quem tem muito dinheiro e viaja para o exterior com frequência, mas para quem quer converte pouco (R$1000,00/mês) como meu caso não compensa... a culpa também é um pouco do governo brasileiro 😜 app que tem que ficar procurando as coisas não tem barra de pesquisa.",App
muito bom!!,App
"muito bom app , bem acessível, fácil e intuitivo de se aprender, super indico para quem gosta de viajar e gastar bem com segurança em dólares , pois tem boas cotações .",App
lixo completo,App
"não gostei de ter converti para dólar,pois descontou mais de dois reais agora entrei pra conversar em reais já descontou mais de dois reais de novo.não recomendo.",App
Aplicativo simples e interativo. Em relação a Nomad para ficar perfeito só falta possibilitar termos investimentos em Euro também.,App
O mínimo para câmbio não era R$50???? as aumentam...,App
excelente 😄 plantaforma,App
Muito Bom. Recomendo a todos.,App
Excelent,App
Prático e fácil de usar.,App
recomendo muito,App
Excelente aplicativo. muito bom !!!,App
é facil de aprender a mexer. gostei!,App
excelente,App
ainda testando,App
"muito bom,adorei",App
eu nunca vi uma conta tão maravilhoso que e essa Nomad,App
excelente 👏👏👏,App
excelente,App
Muito prático.,App
ótimo,App
"a atualização acabou com meus planos ,50 dólares pra investir agora ? tão de brincadeira 300 reais o mínimo ,antes era melhor",App
muito bom,App
show,App
Show,App
"ótimo,ok!",App
"facilidade, confiança e muito aceito nas viagens",App
não consigo acessar meus investimentos fica pedindo pra atualizar os dados cadastrais atualizo mais continua pedindo danando erro,App
Gostei.,App
excelente,App
Gostei muito!,App
Muito bom e prático.,App
muito bom,App
tenho medo de abrir e ser falso,App
"Sou cliente Nomad há alguns anos e só tenho elogios, sempre melhorando!",App
muito bom 👍,App
magnífico alta tecnologia.plataforma excelente eu indico sim tenha sua experiência com a NOMAD eu já tenho,App
Um aplicativo fácil de usar e confiável.,App
Facilidade,App
difícil reabrir conta,App
"Conta internacional na mão,fácil de usar! 😍",App
"o app é bom e ótimo, mas fique muito chateado Deposito e mínimo foi para 50 antes até 15 dólares estava conseguindo colocar, até mesmo para investir 274 já ficou difícil para investir tava mó feliz que estava investindo fora",App
"Prático, fácil e eficiente.",App
esselente,App
excelente,App
estou adorando,App
"Estou tirando a foto da minha CNH aberta mas a Nomad não está aceitando. O problema foi resolvido, e desde então estou gostando muito dos serviços da Nomad! Obrigado",App
ok,App
"um pouco complicado para um novato, mas adaptando.",App
ótimo e de confiança,App
Very good,App
muito fácil e transparente o aplicativo.,App
"Gostei bastante, muito prático e objetivo para operar.",App
maravilhoso,App
"muito bom,usei sem problemas nos EUA",App
"já foi melhor, agora só pode aporta apartir de 300 reais...fica meio salgado, mas é um app bom, é o único que uso, porém os aportes ficaram mais demorados",App
muito boa,App
Estou me adaptando ao sistema. Mas por enquanto não tive nenhum problema. Estou achando o tempo de conversão muito longo. poderia ser mas rápido.,App
no cadastro deveria ter a possibilidade do mês.o de tirar a foto ma hora enviar a foto que você já tenha no celular para vocês. tendo as duas possibilidades pois tendo a foto já no celular para envio ficaria mais facil,App
amooo,App
app muito bom mas ter que diminuir esse valor para transferir para começar a investir esse negócio de 50 dólar deixa do jeito que tava mesmo ou colocar no mínimo 10 dólar acredito que muita gente vai investir diariamente,App
muito bom esse nomad,App
"Esta com bug, não deixa digitar a senha na hora de criar a conta",App
"lento, processos não esclarecidos",App
não tô conseguindo converter meu dólar para real,App
muito boa,App
muito prático e os valores estão melhores que mas casas de câmbio tradicionais,App
Rápido e seguro.,App
aceito em todos os lugares foi uma excelente escolha! sem contar o suporte da nomad,App
Bem prático e simples de usar. Estou gostando pois não me separei com complicações.,App
não recebo o código e o suporte nao responde nada e furada isso,App
"Usei meu nomad card em vários países da Europa e além de ser aceito em tudo, não tive nem a burocracia de usar a senha. Super recomendado.",App
Muito bom! Rápido e fácil de usar.,App
"olha, de 💓 de todos os bancos que utilizo a Nomad me surpreendeu com sua qualidade de atendimento rápido,prático. os depósitos e os saques são muito rápidos em relação aos demais.",App
excelente e muito intuitivo fácil de usar,App
experiência comprovada excelência em atendimento.,App
"I like it a lot. Practical, easy and safe.",App
"precisa melhorar depositei r$ 50 convertido em dólar tenho $7,96 não rende juros e se eu for tirar tem que ter $ 8 para retirar e ainda cobra uma taxa precisa dar mais oportunidades para os investidores imagens o cartão para vim para o Brasil está muito caro r$ 300 para vir um cartão para o Brasil precisam mudar",App
"abri conta aqui porque, dos bancos com conta internacional, acho que é o único dentro do sistema americano com proteção fo FDIC. tá tudo funcionando bem por enquanto. Abs!",App
o app é excelente mas quando se troca de celular ele fica dando erro de sistema em tirar selfie no meu xiaomi não estou conseguindo acessar a conta devido a esse problema já tentei de tudo,App
"show de banco virtual, começando a planejar minhas viagens nomad",App
muito prático e rápido,App
legal,App
simples e pratico,App
perfeito,App
Vamos pensar em criar um site né pessoal!!! Para podermos acessar e ler melhor as informações. 👍👍👍,App
maravilhoso.. mas falta algo! pagar contas... tem o desconforto da transferência se ele fizesse leitura de barra ou pix cola seria sem igual.,App
Excelente banco!! Super confiável,App
fácil operação,App
é um aplicativo excelente,App
"estou a mais de uma semana tentando retirar meu dinheiro é não estou conseguindo, esse banco é péssimo",App
ótimo app,App
muito fácil de operar!,App
"AMEI 😍, muito fácil de usar, parabéns 👏",App
muito prático,App
muito boa e excelente aplicativo,App
ótimo,App
"De um verdadeiro usuário, simples, prático e funcional",App
"muito boa,conversão rapida",App
útil e fácil,App
excelente.,App
"Gostei,fácil de mexer!",App
total facilidade de operar,App
"muito cuidado. foi feito compras na minha conta que não fui eu que fiz!!! em contato com a nômad não me deram sequer tempo de resposta!, só bloquearam meu cartão.",App
muito bom,App
muito bom,App
muito bom,App
Aplicativo funcionando bem. mas por enquanto só estou depositando,App
fica saindo da minha conta na hora que eu entro,App
exelente,App
muito bom .,App
Maravilhoso o APP,App
estou gostando do app. E uma maneira de obter seus dólares muito fácil e poder fazer sua compras pelo aplicativo,App
"não consigo acessar minha conta de investimentos, app, pede uma atualização. Porém, quando chegar num certo ponto simplesmente não avança para atualização. Estou bastante preocupado. Esperando uma solução rápida.",App
so good,App
o app é ótimo 👍 cada aparelho celular entende o app de forma diferente então não devemos condenar o app por um simples erro isso varia de mudança de ponto de localização ou Internet mas no geral o app é excelente. parabéns para os criadores desse app Que Deus continue abençoando vocês!!!! me chamo (Dimas) obrigado!!!,App
App simples e muito eficiente,App
"fui roubado em um saque de dinheiro... sem resposta do atendimento, nao e um app nem um banco confiável... cuidado!! ja entrei em contato e mesmo assim nada se resolve fiquei ligados! alem de se apropriar do nosso dinheiro ainda nos enrolam e nos colocam na posição de mentirosos!",App
problemas constantes de transferência,App
"excelente também para quem tem poucos recursos, assim aqui aos poucos vai formando uma economia! portanto sou muito grato a esta entidade banco ""Nômade""!",App
mto bom!,App
"Fui investir com o mínimo de 50 reais e tive uma surpresa, atualizaram para 300 reais, Fizeram um baita investimento em propaganda focando nisso para no final mudar tudo.",App
muito bom,App
"Good night, is the Samsung S25 Ultra version available when I need to buy the international chip? thank you",App
Muito eficiente e prático!,App
"precisamos de uma watchlist na área de ativos variáveis para poder salvar e acompanhar somente os favoritos. a exibição dos investimentos variáveis precisa de uma divisão melhor % Stocks % Reits %Etfs. outro ponto a melhor é que as transferências não podem entre conta investimentos e conta ""corrente"" não podem levar tanto tempo, o ideal seria que fosse de imediato como no concorrente. A home do app também já está cansada carece de uma atualização.",App
"Rápido, funcional e intuitivo.",App
"Muito bom, prático e eficiente.",App
"não estou conseguindo atualizar a minha conta investimento, não aparece a opção para atualizar",App
Faço sempre meus investimentos aqui.. é fácil e rápido,App
"Aplicativo de fácil uso, rápido e de fácil compreensão!",App
operacional foi tranquilo porém minha experiência como cliente nomad foi horrível,App
muito bom,App
vou iniciar,App
muito fácil a utilização,App
muito tranquila e fácil,App
excelente,App
Aplicativo cumpre o que promete! Praticidade nas viagens e chega de se preocupar com contar dinheiro e moedas de troco!,App
Muito maravilhoso o app da Nomad. Prático inteligível e eficiente. Obrigada!!,App
"suporte horrível, entrei em contato com o suporte pra alterar email forneci todos os meus dados. já tem uma semana que tô esperando receber um email no novo email que mandei cadastrar.",App
muito boa!,App
aplicativo é bem fácil de usar estou gostando muito,App
muito ineficiente,App
Intuitivo e amigável para navegar,App
resposta rápida e interativo,App
Muito top,App
"não gostei . investi 50 dólares e precisei retirar logo em seguida ,mais não tá permitindo tranferir os 50 . até hj não consigo retirar e estou precisando",App
"Nunca tive, uma conta com tantas respostas precisa, melhor banco, melhor investimento, ES",App
tô começando recente e me parece bem legal. Principalmente à questão do dólar estar numa fase que está em oscilação,App
limite de 50 dólares para investir,App
"ótimo app, muito intuitivo",App
É minha primeira vez .estou gostando. quero fazer uma viagem com vocês e quero aprender usar esse benefício maravilhoso que vocês estão fazendo pra mim e prática e bom de usar.,App
Muito prático de usar.,App
muito boa a experiência,App
excelente,App
otimo,App
muito bom,App
muito bom super recomendo,App
Muito rápido e tranquilo!,App
"Rapaz fiz abertura da conta tranquilo no dia 30/04/2025 e logo em seguida fiz a conversão e o investimento de US2.050 onde meu intuito seria adquirir o Cartão Nomad Explorer pra poder começar a trabalhar com ele, mais até agora esta em análise do Cartão. Gostaria saber da Nomad quanto tempo leva pra analizar aprovação do cartão Nomad Explorer?",App
Estou aguardando meu cashbeck..,App
"Maravilhoso, funcional",App
muito satisfatória,App
"app mais fácil de utilizar para comprar dólares e utilizar em vários países com conversão automática, muito prático e rápido top",App
ótimo,App
maravilhoso,App
muito bom,App
"A Nomad se supera a cada dia, aplicativo cada vez melhor!",App
"ótimo muito bom , apesar de ainda está conhecendo.espero que continue assim",App
a melhor experiência que tive em relação a compra de dólares,App
App muito confuso conversões demoram muito tempo já foi melhor,App
super facil de operar,App
prático rápido e simples,App
"todos os inícios de mês quando libera os pontos do cartão de crédito, dá problema na compra de dólares usando os pontos pra abater nas taxas. Tem que ficar esperando a boa vontade de alguém responder um chamado e consertar a falha",App
ótimo,App
"Ótima pra guardar dinheiro e investir,!",App
Fácil de usar porque tem assistente web!,App
o APP em si é ótimo porém fizeram uma atualização que agora só pode depositar 300 reais antes era 50. ficou muito ruim para meu caso q n pode fzr grandes aportes.,App
perfeito,App
muito bom!,App
"fácil, rápido e seguro.",App
"Tenho tido problemas com as ordens . Já, por algumas vezes, não tem feito a compra nem a venda quando alcança o valor do ativo solicitado . Complicado confiar .",App
"o app é muito bom para investir,mas o fato de ter um valor mínimo de depósito faz perder o interesse em investir principalmente para quem está começando.",App
"Prático, claro ,eficiente!",App
exelente.,App
App muito prático!,App
amei ❤️❤️❤️❤️,App
pra mim até agora super TOP,App
ótimo,App
o melhor sem dúvida,App
"A conta de investimento não ativa a mais de 3 dias e o suporte não resolve nada. Passo horas para um atendente e sempre passa para um agente específico da demana mais não resolve nada. Já mandei mensagem para mais de 5 suporte, Ana Aline Eduarda Jaqueline e sem solução não indico",App
estou gostando.,App
taxa de transferência cara,App
Show!,App
falta muita coisa ainda pra melhorar. o aplicativo é meio confuso .,App
amando a experiência de investir no interior 🥰,App
app bom e fácil gostaria de saber Porque na conta de investimento o valor mínimo e 300 reais e a corrente e 50 reais,App
muito bem mesmo,App
ficou bem melhor depois que corrigiram o bug de sair do app ao clicar no botão voltar do celular. No futuro seria legal ter um gráfico de recebimento de proventos por mês,App
"tô conhecendo agora, mas tô gostando e me adaptando.",App
"exatamente como eu queria, fácil de mexer e rápida resposta.",App
Cumpre o que promete!,App
mandei um dinheiro pra minha conta Bradesco até hj não caiu e não voltou pra conta,App
"O banco é muito bom, mas poderia voltar com o mínimo para conversão de real para dólar de 50 reais. 300 reais como mínimo ficou alto, principalmente para quem tem renda baixa e quer investir nos EUA.",App
seguro,App
excepcional. gratidão,App
top,App
5 estrelas.,App
"poderia simplificar mais, pq você acaba convertendo e acha que vai poder investir, mas só depois descobre que tem que jogar para uma gaveta específica da área de investimentos, poderia tirar de uma e investir na outra assim ajudaria muito mais",App
"não gostei, faz 3 dias úteis e até agora não aprovaram meu Bonds, entrei em contato com suporte e me deixaram no vácuo no próprio app ridículo.",App
"o aplicativo é bom, mas precisa de ajustes tecnológicos para melhorará disponibilidade e usabilidade.",App
"Simples, rápido e prático.",App
EFICIENTE E EFICAZ,App
É bom mais poderia ter mais opções de serviços bancários!,App
fácil..... e rápido,App
aplicativo é muito bom mas tudo tem taxa a se pagar e não é barato,App
um lixo 🚯🚯🚯🚯🚯🚯,App
muito legal,App
prático,App
ótimo muito bom,App
melhor instituição financeira do mundo 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👍👍👍👍👍👍,App
muito bom,App
bom,App
"muito bom, fazer o uso deste; muito claro de entender, e seguro!",App
prático e fácil,App
Show!,App
excelente,App
"Ótimo aplicativo da Nomad, facilita muito investidor dolarizar parcela do patrimônio e fazer reservas em moeda mais forte. Também ótimo para transferência entre contas e por fim mas não menos importante cartão de débito e crédito para usar em viagens internacionais ou no dia a dia no país. Na minha opinião faltaria apenas acrescentar bloqueio e desbloqueio de tela quando não estiver logado mas usando o app, de modo a aumentar o grau de proteção ativa no uso.",App
Foi o primeiro uso. Mais pra frente avalio de novo.,App
"achei o modo de operação complicado, mas, pode ser por estar muito acostumado com o modelo nacional.",App
muito bom recomendo,App
faz mais de 4 dias que estou tentando mandar para minha conta bancária brasileira o dinheiro que eu converti de dólares para reais o dinheiro sai da conta nomad depois de um dia ele volta e não vai para minha conta brasileira isso está me estressando demais,App
poderia melhorar tendo pix para transferir dinheiro do saldo em reais dentro do Brasil,App
"comecei a usar agora, tô gostando de mais 😁",App
Muito fácil de utilizar e não voltamos com contas para pagar de viagens.,App
não gostei,App
muito bom,App
Ótimo Super recomendo,App
Comecei a pouco tempo mais tô gostando,App
muito prática .,App
muito bom e rápido,App
"Excelente, recomendo. Viajei para uma temporada na Holanda só com o cartão da Wise e me ferrei, pq a maioria não aceita. Foi então que habilitei meu cartão virtual da Nomad e meus problemas terminaram. Aceito em qq lugar aqui nos países baixos",App
excelent,App
"o aplicativo é bem dividido e fácil de manusear e intuitivo... mas, a exigência de um depósito mínimo de R$ 300,00 para converter em dólares para investir, achei desnecessário. Estava ótimo com o valor anterior de R$ 50,00 que é acessível a qualquer pessoa. Parabéns aos desenvolvedores pelo aplicativo, mas hoje o banco Inter me atende melhor na questão de flexibilidade dos depósitos para investimento no exterior.",App
Meu dinheiro sumiu faz 10 dias. Nomad nunca mais.,App
muito bom estou gostando,App
decepcionado até receber o cartão físico tem que pagar e outros problemas com a conta.,App
Experiência nova e desafiadora,App
estou gostando,App
muito bom aplicativo top gosto demais gosto muito,App
bom,App
Excelente aplicativo. Atendeu todas as minhas expectativas. Realmente posso confiar os meus investimentos a Nomad.,App
"Continua apesar da atualização. testem!! Pôxa, pessoal, vcs precisam testar no Redmi Note 13 Pro 5G. Tem dado muito problema. Meu App está funcionando, mas não consigo visualizar o número do meu Cartão Virtual. Como ele exibe e fecha rapidamente o aplicativo, usei um workaround de gravar a tela e acabei conseguindo ver o número. Desde que comprei o celular já abri 2 chamados para resolver os problemas. Hoje não vou abrir pois já dei meu jeito aqui. Por favor, testem nesse modelo de celular.",App
horrível devido as altas taxas para fazer transações. Um absurdo exigir um valor mínimo de 300 reais para ser possível investir em dólar.,App
"A plataforma é funcional, o ambiente tem características e funcionalidades aparentemente seguras. Também bons o gerenciamento de ETF'S e AÇÕES. Mas é complexo as informações básicas, tipo um extrato detalhado com a movimentação de dólar e real, no sentido de contas enviadas, valores, tempo para creditação etc...",App
muito bom,App
app muito didático bom de mexer muito bom,App
top,App
muito top,App
taxa muito alta. só por isso restante muito bom obrigado,App
Aprendi hoje a converter. Achei fácil manusear.,App
